estimate,mean,lower,upper,p.value,k
Asian:lice_flea,0.5766,-0.19117484993600298,1.3444364268898092,0.14104687026985063,1
Asian:mosquito,-0.1539,-0.4469860992855138,0.13912180798269935,1.6966669921981783,2
Asian:tick,-0.5952,-1.1803733734845256,-0.010069204782158003,1.9538103457942868,7
Asian:zoonotic,0.6528,0.33309855842072417,0.9724367575402835,6.266636537355375e-5,8
Black:lice_flea,0.8769,0.18417340228579393,1.5697000044731917,0.01310259132437741,4
Black:mosquito,0.2124,-0.06322938958744473,0.48800289682676756,0.13092901184329309,14
Black:tick,0.2689,-0.1120637826029875,0.6499137468705372,0.1665550058321612,16
Black:zoonotic,0.369,0.08401153386072846,0.6540406904963282,0.011163001432024755,27
Education:mosquito,1.1171,0.8334128328450159,1.4008016203900449,1.176836406102666e-14,12
Education:tick,0.473,0.09870034355810253,0.847220860059971,0.013245486995921985,6
Education:zoonotic,0.766,0.4797950715368368,1.0522535169233216,1.5602273939485656e-7,21
Housing:lice_flea,0.8391,0.23347491172125956,1.4446822625431133,0.006613644390156326,12
Housing:mosquito,0.7261,0.45427513058804697,0.9979412092068003,1.6462365670655288e-7,26
Housing:tick,0.6266,0.2522399703375929,1.0009381868865388,0.001035411122422225,4
Housing:zoonotic,1.9452,1.6346142735029707,2.255876928228616,0,7
Immigrants:mosquito,0.8065,-0.08702228688639546,1.6999934834966728,0.07687061491476266,4
Immigrants:tick,1.0461,0.1816791428053801,1.9104418366162859,0.01768968415727068,3
Immigrants:zoonotic,0.7904,0.5037413036282955,1.0769651388731516,6.474964964198193e-8,15
Income:lice_flea,1.4276,0.7989977623822991,2.0562385507051255,8.540384895727726e-6,7
Income:mosquito,0.716,0.4456582611666443,0.9863462130144444,2.0914925347170765e-7,46
Income:tick,0.5358,0.16197212538519667,0.9096647679997196,0.004968174026431571,13
Income:zoonotic,0.5488,0.2649485453670373,0.8326734312178508,1.5105515018287718e-4,53
Indigenous:mosquito,0.3591,0.0783972741618631,0.6397468654785443,0.012153471943489036,7
Indigenous:tick,-0.6016,-1.3358881127528397,0.13260607573693128,1.8917066877469353,4
Indigenous:zoonotic,-0.0912,-0.7870665752254543,0.6047461325082878,1.2027148071458085,1
Latinx:lice_flea,1.6474,0.9199692879378395,2.3747511115273476,9.036873003687163e-6,2
Latinx:mosquito,0.3151,0.039945680646308046,0.5901937022115047,0.024781530240461258,17
Latinx:tick,-0.4117,-0.8270347507159714,0.0036393501835297326,1.9479640891409364,22
Latinx:zoonotic,0.3529,0.06740731374441922,0.638430558094304,0.015409357412807578,27
Mixed_race:mosquito,0.576,0.3042281435515429,0.8477610217956353,3.2649134973805616e-5,3
Mixed_race:tick,-0.5549,-0.9312664182083699,-0.17851262478121743,1.9961435022628589,10
Mixed_race:zoonotic,0.5782,0.2781754984910174,0.8782531773676772,1.5867501485167246e-4,12
Unhoused:lice_flea,1.2258,0.4452185309659087,2.0063331306413343,0.002083835990421612,10
Unhoused:mosquito,1.0933,0.21456296857263646,1.9720550667840293,0.014746233936923314,3
Unhoused:tick,0.1543,-1.1067068790790038,1.4152441268757276,0.8104569797332064,3
